,Date,ExitDate,Stock,Return,Profit
553,2021-02-10,2021-02-17,00715L_期街口S&P布蘭特油正2,0.12277105964336954,491084.2385734782
554,2021-02-10,2021-02-17,00650L_復華香港正2,0.11005214952396103,440208.5980958441
555,2021-02-17,2021-02-24,2009_第一銅,0.35073366903215386,1402934.6761286154
556,2021-02-17,2021-02-24,3078_僑威,0.3411693490955705,1364677.396382282
557,2021-02-17,2021-02-24,8431_匯鑽科,0.32617055436243536,1304682.2174497414
558,2021-02-17,2021-02-24,3006_晶豪科,0.323413595891926,1293654.383567704
559,2021-02-17,2021-02-24,6129_普誠,0.30934865609293305,1237394.6243717321
560,2021-02-24,2021-03-03,4571_鈞興-KY,0.44325470191367655,1773018.8076547063
561,2021-02-24,2021-03-03,3169_亞信,0.20573453047792922,822938.1219117169
562,2021-02-24,2021-03-03,8016_矽創,0.18026983514588868,721079.3405835547
563,2021-02-24,2021-03-03,2610_華航,0.17805011930500658,712200.4772200263
564,2021-02-24,2021-03-03,6129_普誠,0.15483960246215434,619358.4098486174
565,2021-03-03,2021-03-10,6712_長聖,0.13242083713834218,529683.3485533687
566,2021-03-03,2021-03-10,8431_匯鑽科,0.13204699257583563,528187.9703033426
567,2021-03-03,2021-03-10,6547_高端疫苗,0.13094278413626426,523771.136545057
568,2021-03-03,2021-03-10,3630_新鉅科,0.12480502417979711,499220.09671918844
569,2021-03-03,2021-03-10,6456_GIS-KY,0.11612102883989839,464484.11535959353
570,2021-03-10,2021-03-17,6129_普誠,0.45762199263392356,1830487.9705356942
571,2021-03-10,2021-03-17,5452_佶優,0.4499237330742816,1799694.9322971264
572,2021-03-10,2021-03-17,3545_敦泰,0.35319553073181864,1412782.1229272746
573,2021-03-10,2021-03-17,3228_金麗科,0.309178853372877,1236715.413491508
574,2021-03-10,2021-03-17,3362_先進光,0.2968813624735416,1187525.4498941663
575,2021-03-17,2021-03-24,3169_亞信,0.26910369435172754,1076414.7774069102
576,2021-03-17,2021-03-24,6547_高端疫苗,0.25195642144817154,1007825.6857926862
577,2021-03-17,2021-03-24,3294_英濟,0.21923033986842588,876921.3594737035
